anime_id,anime_url,title,synopsis,main_pic,type,source_type,num_episodes,status,start_date,end_date,season,studios,genres,score,score_count,score_rank,popularity_rank,members_count,favorites_count,watching_count,completed_count,on_hold_count,dropped_count,plan_to_watch_count,total_count,score_10_count,score_09_count,score_08_count,score_07_count,score_06_count,score_05_count,score_04_count,score_03_count,score_02_count,score_01_count,clubs,pics
2366,https://myanimelist.net/anime/2366/Touma_Kishinden_Oni,Touma Kishinden Oni,Shuramaru is hated and feared by the villagers for his unusual powers. He thinks he is human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4940,https://myanimelist.net/anime/4940/Sabaku_no_Kaizoku_Captain_Kuppa,Sabaku no Kaizoku! Captain Kuppa,Sometime in the future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50285,https://myanimelist.net/anime/50285/On_Air_Dekinai,On Air Dekinai!,Set in 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3975,https://myanimelist.net/anime/3975/Uchi_no_3_Shimai,Uchi no 3 Shimai,The daily life of the Motsumoto family. The three sisters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36036,https://myanimelist.net/anime/36036/Running_Man,Running Man,The Soul Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41426,https://myanimelist.net/anime/41426/Watanuki-san_Chi_to,Watanuki-san Chi to,Second season of .,https://cdn.myanimelist.net/images/anime/1136/111640.jpg,TV,Other,12,Finished Airing,4/6/2020 0:00,6/22/2020 0:00,Spring 2020,,Slice of Life,,,,10785,1292,4,93,113,31,103,952,1292,0,0,0,0,0,0,0,0,0,0,27093|79626,https://cdn.myanimelist.net/images/anime/1334/106431.jpg|https://cdn.myanimelist.net/images/anime/1524/106532.jpg|https://cdn.myanimelist.net/images/anime/1136/111640.jpg
49065,https://myanimelist.net/anime/49065/Shuimu_Xuetang_2nd_Season,Shuimu Xuetang 2nd Season,.,https://cdn.myanimelist.net/images/anime/1317/115212.jpg,TV,Original,400,Finished Airing,7/20/2009 0:00,12/20/2009 0:00,Summer 2009,,Comedy|Kids,,,,18670,52,0,1,17,0,13,21,52,0,0,0,0,0,0,0,0,0,0,42215,https://cdn.myanimelist.net/images/anime/1317/115212.jpg
48335,https://myanimelist.net/anime/48335/Canimals,Canimals,.,https://cdn.myanimelist.net/images/anime/1533/114467.jpg,TV,Original,26,Finished Airing,3/2/2011 0:00,8/25/2011 0:00,Spring 2011,,Comedy|Kids,,,,18187,100,0,3,47,1,20,29,100,0,0,0,0,0,0,0,0,0,0,,https://cdn.myanimelist.net/images/anime/1533/114467.jpg
30417,https://myanimelist.net/anime/30417/Panpaka_Pants_O-New,Panpaka Pants O-New!,Follows a pig whose family's mission is to collect underpants.,https://cdn.myanimelist.net/images/anime/8/79174.jpg,TV,Original,26,Finished Airing,4/4/2015 0:00,10/10/2015 0:00,Spring 2015,DLE,Comedy|Kids,,,,14500,342,0,20,78,12,73,159,342,0,0,0,0,0,0,0,0,0,0,14045,https://cdn.myanimelist.net/images/anime/8/79174.jpg
38138,https://myanimelist.net/anime/38138/Zhu_Zhu_Xia__Jing_Qiu_Xiao_Yingxiong,Zhu Zhu Xia: Jing Qiu Xiao Yingxiong,In honor of the 2018 World Cup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36506,https://myanimelist.net/anime/36506/Fuwafuwa_Hour__Pui_Pui___Muu_Muu,Fuwafuwa Hour: Pui Pui & Muu Muu,Fairies living in a fluffy forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37787,https://myanimelist.net/anime/37787/Space_Bug,Space Bug,This story is about Mick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47164,https://myanimelist.net/anime/47164/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka_IV,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV,Fourth season of .,https://cdn.myanimelist.net/images/anime/1180/120373.jpg,TV,Light novel,,Not yet aired,3/20/2022 0:00,,,,Action|Adventure|Comedy|Fantasy|Romance,,,,1710,99913,383,0,0,0,0,99909,99909,0,0,0,0,0,0,0,0,0,0,8652,https://cdn.myanimelist.net/images/anime/1407/111469.jpg|https://cdn.myanimelist.net/images/anime/1180/120373.jpg
18227,https://myanimelist.net/anime/18227/Bakujuu_Gasshin_Ziguru_Hazeru,Bakujuu Gasshin Ziguru Hazeru,The anime is based on MegaHouse's line of Ziguru Hazeru (literally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5374,https://myanimelist.net/anime/5374/Miracle_Mimika,Miracle! Mimika,Himeno Mimika is a daughter of historical cook family. She goes to a cooking school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40273,https://myanimelist.net/anime/40273/Fuwa_no_go_renkan,Fuwa no go renkan,Fuwa Beibei encounters the severely injured goddess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41384,https://myanimelist.net/anime/41384/Norimono_Man__Mobile_Land_no_Car-kun,Norimono Man: Mobile Land no Car-kun,"The anime will depict various vehicles as characters in the ""Mobile Land"" island. The protagonist Car-kun arrives at the island as a delivery worker. Through his deliveries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48418,https://myanimelist.net/anime/48418/Maou_Gakuin_no_Futekigousha__Shijou_Saikyou_no_Maou_no_Shiso_Tensei_shite_Shison-tachi_no_Gakkou_e_Kayou_2nd_Season_Part_2,Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51119,https://myanimelist.net/anime/51119/Grisaia__Phantom_Trigger_the_Animation_TV,Grisaia: Phantom Trigger the Animation (TV),.,https://cdn.myanimelist.net/images/anime/1579/121094.jpg,TV,Visual novel,,Not yet aired,,,,Bibury Animation Studios,Action|School,,,,19381,4345,4,0,0,0,0,4344,4344,0,0,0,0,0,0,0,0,0,0,8652|1306,https://cdn.myanimelist.net/images/anime/1579/121094.jpg
34928,https://myanimelist.net/anime/34928/Akindo_Sei_no_Little_Peso,Akindo Sei no Little Peso,.,https://cdn.myanimelist.net/images/anime/7/84307.jpg,TV,Game,12,Finished Airing,4/3/2017 0:00,6/19/2017 0:00,Spring 2017,Fanworks,Comedy|Sci-Fi,,,,13716,431,0,25,98,11,136,161,431,0,0,0,0,0,0,0,0,0,0,14045|78493,https://cdn.myanimelist.net/images/anime/7/84307.jpg
48363,https://myanimelist.net/anime/48363/RPG_Fudousan,RPG Fudousan,The story begins 15 years after the demon king was defeated and the world has become peaceful. Kotone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45596,https://myanimelist.net/anime/45596/Kindan_Joshi,Kindan Joshi,.,https://cdn.myanimelist.net/images/anime/1102/111039.jpg,TV,Original,5,Finished Airing,12/29/2020 0:00,1/3/2021 0:00,Winter 2021,,Comedy|Romance,,,,12828,597,4,46,134,19,95,303,597,0,0,0,0,0,0,0,0,0,0,2287,https://cdn.myanimelist.net/images/anime/1102/111039.jpg
49221,https://myanimelist.net/anime/49221/Kick___Slide,Kick & Slide,"The third generation of J SOUL BROTHERS from EXILE TRIBE is reimagined as 7 unique and diverse characters in ""KICK & SLIDE"". This is a slapstick story where the characters solve difficult cases!? and rare cases!? that occur in the colorful and pop vibrant city ""Nakame Town"" with dance and music.  (Source: Official website)",https://cdn.myanimelist.net/images/anime/1340/115899.jpg,TV,Original,12,Finished Airing,7/7/2021 0:00,9/22/2021 0:00,Summer 2021,,Music|Kids,,,,15742,252,1,17,64,5,54,112,252,0,0,0,0,0,0,0,0,0,0,10978|26384,https://cdn.myanimelist.net/images/anime/1340/115899.jpg
9781,https://myanimelist.net/anime/9781/Hyouga_Senshi_Gaislugger,Hyouga Senshi Gaislugger,A cyborg warrior from an ancient Antarctic kingdom awakes 30000 years later from an accidental hibernation to find the Earth changed and an old alien enemy on the verge of invasion. It's up to Guyslugger to use his ancient technology to defeat the aliens.  (Source: AniDB),https://cdn.myanimelist.net/images/anime/10/27078.jpg,TV,Original,20,Finished Airing,4/12/1977 0:00,8/30/1977 0:00,Spring 1977,Toei Animation,Action|Sci-Fi|Mecha,,,,12681,628,0,38,164,22,83,321,628,0,0,0,0,0,0,0,0,0,0,,https://cdn.myanimelist.net/images/anime/10/27077.jpg|https://cdn.myanimelist.net/images/anime/10/27078.jpg
48770,https://myanimelist.net/anime/48770/Hyper_Positive_Yogoremon,Hyper Positive Yogoremon,The story centers on Otarou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38525,https://myanimelist.net/anime/38525/Chuldong_Super_Wings,Chuldong! Super Wings,follows the adventures of an adorable jet plane named Jett who travels around the world delivering packages to children. On every delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37653,https://myanimelist.net/anime/37653/Caribadix_2nd_Season,Caribadix 2nd Season,.,https://cdn.myanimelist.net/images/anime/1400/91641.jpg,TV,Original,39,Finished Airing,4/1/2018 0:00,1/6/2019 0:00,Spring 2018,,Comedy|Music,,,,15270,283,0,24,54,14,92,99,283,0,0,0,0,0,0,0,0,0,0,14045,https://cdn.myanimelist.net/images/anime/1400/91641.jpg
30605,https://myanimelist.net/anime/30605/Uwabaki_Cook_no_Tekitou_Uranai,Uwabaki Cook no Tekitou Uranai!,A collaboration shorts that aired as part of Yomiuri TV's morning program block.,https://cdn.myanimelist.net/images/anime/7/73542.jpg,TV,Original,125,Finished Airing,1/5/2015 0:00,6/26/2015 0:00,Winter 2015,,Comedy,,,,14918,312,0,21,92,7,102,90,312,0,0,0,0,0,0,0,0,0,0,14045,https://cdn.myanimelist.net/images/anime/3/73541.jpg|https://cdn.myanimelist.net/images/anime/7/73542.jpg
42994,https://myanimelist.net/anime/42994/Jashin-chan_Dropkick_X,Jashin-chan Dropkick X,Third season of .,https://cdn.myanimelist.net/images/anime/1103/112205.jpg,TV,Web manga,,Not yet aired,7/20/2022 0:00,,Summer 2022,,Comedy|Supernatural,,,,6133,7633,7,0,0,0,0,7633,7633,0,0,0,0,0,0,0,0,0,0,8652|27093,https://cdn.myanimelist.net/images/anime/1103/112205.jpg
50220,https://myanimelist.net/anime/50220/Isekai_Shoukan_wa_Nidome_desu,Isekai Shoukan wa Nidome desu,There was once a man who was summoned to another world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49920,https://myanimelist.net/anime/49920/Sai_Er_Hao_Season_11__Liekong_Canghai,Sai Er Hao Season 11: Liekong Canghai,.,https://cdn.myanimelist.net/images/anime/1599/118003.jpg,TV,Game,30,Finished Airing,1/8/2021 0:00,7/23/2021 0:00,Winter 2021,,Kids,,,,18571,65,0,0,15,2,23,25,65,0,0,0,0,0,0,0,0,0,0,42215,https://cdn.myanimelist.net/images/anime/1599/118003.jpg
5278,https://myanimelist.net/anime/5278/Totsugeki_Pappara-tai,Totsugeki! Pappara-tai,An elite soldier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50631,https://myanimelist.net/anime/50631/Komi-san_wa_Comyushou_desu_2nd_Season,Komi-san wa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39007,https://myanimelist.net/anime/39007/Kawauso_Labo,Kawauso Labo,.,https://cdn.myanimelist.net/images/anime/1458/98252.jpg,TV,Other,26,Finished Airing,1/15/2019 0:00,7/16/2019 0:00,Winter 2019,Kachidoki Studio,Comedy,,,,11871,843,1,35,37,8,91,672,843,0,0,0,0,0,0,0,0,0,0,14045,https://cdn.myanimelist.net/images/anime/1458/98252.jpg
41101,https://myanimelist.net/anime/41101/Poccolies,Poccolies,The 2018 LINE sticker set Poccolies is inspiring a series of anime shorts. The story of the sticker set is that a positive and honest boy named Patsuhiko lives on Pokkori Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36002,https://myanimelist.net/anime/36002/Otona_no_Ikkyuu-san_2nd_Season,Otona no Ikkyuu-san 2nd Season,The second season of .,https://cdn.myanimelist.net/images/anime/11/87008.jpg,TV,Other,13,Finished Airing,4/4/2017 0:00,6/27/2017 0:00,Spring 2017,,Comedy|Historical,,,,16277,214,0,19,57,4,61,73,214,0,0,0,0,0,0,0,0,0,0,14045,https://cdn.myanimelist.net/images/anime/11/87008.jpg
17423,https://myanimelist.net/anime/17423/Pink_Lady_Monogatari__Eikou_no_Tenshi-tachi,Pink Lady Monogatari: Eikou no Tenshi-tachi,Based on the real life-story of Pink Lady,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35108,https://myanimelist.net/anime/35108/Ninja_Tamamaru__Toukaidou_Gojuusan-ji,Ninja Tamamaru: Toukaidou Gojuusan-ji,The third season of .,https://cdn.myanimelist.net/images/anime/7/84701.jpg,TV,Original,26,Finished Airing,12/26/2009 0:00,6/26/2010 0:00,Winter 2010,,Martial Arts|Kids,,,,17425,151,0,11,41,5,44,50,151,0,0,0,0,0,0,0,0,0,0,14045,https://cdn.myanimelist.net/images/anime/7/84701.jpg
27393,https://myanimelist.net/anime/27393/Kyuumei_Senshi_Nanosaver,Kyuumei Senshi Nanosaver,The third show in the Virtual Trilogy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708,https://myanimelist.net/anime/2708/Wankorobee,Wankorobee,.,https://cdn.myanimelist.net/images/anime/11/3647.jpg,TV,Original,26,Finished Airing,10/6/1996 0:00,3/30/1997 0:00,Fall 1996,Ajia-Do|TMS Entertainment,Comedy|Fantasy|Kids,,,,15511,266,0,12,74,9,76,95,266,0,0,0,0,0,0,0,0,0,0,,https://cdn.myanimelist.net/images/anime/11/3647.jpg
41440,https://myanimelist.net/anime/41440/Anoyo_no_Subete_wa_Obake-gumi,Anoyo no Subete wa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30151,https://myanimelist.net/anime/30151/Kamiusagi_Rope__Warau_Asa_ni_wa_Fukuraitaru_tte_Maji_ssuka,Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!?,Fourth season of Kamiusagi Rope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38136,https://myanimelist.net/anime/38136/Zhu_Zhu_Xia__Zhong_Ji_Jue_Zhan_-_Qian_Ye_Pian,Zhu Zhu Xia: Zhong Ji Jue Zhan - Qian Ye Pian,A prequel TV series setting up for the feature film.  G.G. Bond's father while exploring ruins gets sucked into a dimension of evil through the Dark Gate. He is bestowed power and knowledge and becomes corrupted as the King of Darkness. Ancient monsters are sent through the cracks of the gate to attack G.G. Bond and his team as the 5 elemental powers are stronger than the King of Darkness. By weakening the team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8025,https://myanimelist.net/anime/8025/Chi-Sui_Maru,Chi-Sui Maru,The offensive and defensive battles between Nobuo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32585,https://myanimelist.net/anime/32585/Telemonster,Telemonster,Korean Animation about the monsters Eerie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35364,https://myanimelist.net/anime/35364/Kkoma_Sinseon_Tao,Kkoma Sinseon Tao,This Korean and Chinese co-production series focuses on Tao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48413,https://myanimelist.net/anime/48413/Hataraku_Maou-sama_2nd_Season,Hataraku Maou-sama! 2nd Season,Second season of,https://cdn.myanimelist.net/images/anime/1543/120053.jpg,TV,Light novel,,Not yet aired,7/20/2022 0:00,,Summer 2022,Studio 3Hz,Comedy|Fantasy|Romance|Supernatural|Demons,,,,981,193927,2314,0,0,0,0,193911,193911,0,0,0,0,0,0,0,0,0,0,8652|27953,https://cdn.myanimelist.net/images/anime/1237/113307.jpg|https://cdn.myanimelist.net/images/anime/1543/120053.jpg
38857,https://myanimelist.net/anime/38857/Neko_no_Nyagh__Nya_Misérables,Neko no Nyagh: Nya Misérables,TV adaptation of Cocone Corporation's mobile puzzle game app.  Discover the adventures of the cat painter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50380,https://myanimelist.net/anime/50380/Paripi_Koumei,Paripi Koumei,General of the Three Kingdoms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50346,https://myanimelist.net/anime/50346/Yofukashi_no_Uta,Yofukashi no Uta,Kou Yamori seems like a typical middle school student on the surface. Relatively good at studies and amiable with his classmates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37117,https://myanimelist.net/anime/37117/Bakutsuri_Bar_Hunter,Bakutsuri Bar Hunter,.,https://cdn.myanimelist.net/images/anime/1043/94347.jpg,TV,Manga,25,Finished Airing,10/2/2018 0:00,3/26/2019 0:00,Fall 2018,Toei Animation|Gallop,Adventure|Kids,,,,13735,429,0,32,70,24,88,215,429,0,0,0,0,0,0,0,0,0,0,,https://cdn.myanimelist.net/images/anime/1065/94346.jpg|https://cdn.myanimelist.net/images/anime/1043/94347.jpg
49556,https://myanimelist.net/anime/49556/Love_All_Play,Love All Play,Ryou Mizushima enrolls in junior high and joins the badminton club with great vigor. Although the club didn't have a proper coach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49184,https://myanimelist.net/anime/49184/Gunma-chan,Gunma-chan,An anime series based on the Gunma Prefecture mascot character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34309,https://myanimelist.net/anime/34309/Nananin_no_Ayakashi__Chimi_Chimi_Mouryou_Gendai_Monogatari,Nananin no Ayakashi: Chimi Chimi Mouryou!! Gendai Monogatari,"This show consists of shorts starring 7 characters created and voiced by the voice actors of the variety show ""Seiyuu Danshi desu ga...?"". The anime will be a slapstick comedy that follows seven spirits that come to the modern world.  (Source: ANN)",https://cdn.myanimelist.net/images/anime/8/82618.jpg,TV,Original,8,Finished Airing,12/5/2016 0:00,1/29/2017 0:00,Winter 2017,DLE,Comedy|Supernatural,,,,12650,638,0,45,101,13,105,374,638,0,0,0,0,0,0,0,0,0,0,14045,https://cdn.myanimelist.net/images/anime/8/82618.jpg
42144,https://myanimelist.net/anime/42144/Jingju_Mao_Zhi_Xinnian_de_Maoxian,Jingju Mao Zhi Xinnian de Maoxian,Second season of .,https://cdn.myanimelist.net/images/anime/1675/107855.jpg,TV,Original,52,Finished Airing,7/10/2017 0:00,8/14/2017 0:00,Summer 2017,Dazzling Star,Action|Adventure|Comedy|Fantasy|Kids,,,,17993,115,0,5,34,5,32,39,115,0,0,0,0,0,0,0,0,0,0,42215,https://cdn.myanimelist.net/images/anime/1675/107855.jpg|https://cdn.myanimelist.net/images/anime/1232/107856.jpg
35920,https://myanimelist.net/anime/35920/Hello_Jadoo,Hello Jadoo,Hello Jadoo is a South-Korean TV show about a girl named Choi Jadoo who is a very free-spirited girl. In every episode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50869,https://myanimelist.net/anime/50869/Kami_wa_Game_ni_Ueteiru,Kami wa Game ni Ueteiru.,"The supreme Gods who had too much free time created the ultimate brain games ""Play of the Gods."" Former Goddess Leche awoke from a long slumber and declared to the world",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44524,https://myanimelist.net/anime/44524/Isekai_Meikyuu_de_Harem_wo,Isekai Meikyuu de Harem wo,Struggling with life and society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50284,https://myanimelist.net/anime/50284/Technoroid__Overmind,Technoroid: Overmind,Technoroid: Overmind is set in the Entertainment Tower Babel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39664,https://myanimelist.net/anime/39664/Gifu_no_Tatekayoko,Gifu no Tatekayoko,The series revolves around life in Gifu Prefecture in central Japan — as seen through the eyes of Tatekayoko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49784,https://myanimelist.net/anime/49784/Mairimashita_Iruma-kun_3rd_Season,Mairimashita! Iruma-kun 3rd Season,Third season of .,https://cdn.myanimelist.net/images/anime/1377/121509.jpg,TV,Manga,,Not yet aired,10/20/2022 0:00,,Fall 2022,,Comedy|Fantasy|Supernatural|Demons|School|Shounen,,,,3543,28257,139,0,0,0,0,28255,28255,0,0,0,0,0,0,0,0,0,0,8652,https://cdn.myanimelist.net/images/anime/1711/117633.jpg|https://cdn.myanimelist.net/images/anime/1377/121509.jpg
50606,https://myanimelist.net/anime/50606/Ayakashi_Triangle,Ayakashi Triangle,Matsuri Kazamaki and Suzu Kanade are childhood friends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50384,https://myanimelist.net/anime/50384/Mononogatari,Mononogatari,"Tsukumogami—spirits or ""marebito"" can possess objects of considerable age and gain a physical form. Although he is part of the Saenome clan that is in charge of peacefully sending them back to their own world",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22893,https://myanimelist.net/anime/22893/Mon_Cheri_CoCo,Mon Cheri CoCo,A young woman aims to become a famous fashion designer.  (Source: AniDB),https://cdn.myanimelist.net/images/anime/1852/109506.jpg,TV,Manga,13,Finished Airing,8/27/1972 0:00,11/26/1972 0:00,Summer 1972,,Romance|Shoujo,,,,11992,816,0,52,118,34,80,532,816,0,0,0,0,0,0,0,0,0,0,37895,https://cdn.myanimelist.net/images/anime/10/59463.jpg|https://cdn.myanimelist.net/images/anime/1829/109505.jpg|https://cdn.myanimelist.net/images/anime/1852/109506.jpg
38363,https://myanimelist.net/anime/38363/Ohayou_Hakushon_Daimaou,Ohayou Hakushon Daimaou,The 3rd continuation of NTV's ZIP! anime parody shorts. This one focuses on . Like with the previous season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38075,https://myanimelist.net/anime/38075/Titipo_Titipo,Titipo Titipo,Say hi to Tayo's new friend - Titipo! Train Center's new born little train Titipo has just passed the driving examination and is prepared to work at the Train Village. Although Titipo dreams of becoming the best train in the world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42979,https://myanimelist.net/anime/42979/Zhandou_Wang_Zhi_Jufeng_Zhan_Hun_5__Heti_Fanwai_Pian,Zhandou Wang Zhi Jufeng Zhan Hun 5: Heti Fanwai Pian,.,https://cdn.myanimelist.net/images/anime/1708/109501.jpg,TV,Original,10,Finished Airing,12/25/2019 0:00,1/4/2020 0:00,Winter 2020,Alpha Animation,Action|Kids,,,,17133,168,0,5,35,9,35,84,168,0,0,0,0,0,0,0,0,0,0,42215,https://cdn.myanimelist.net/images/anime/1708/109501.jpg
41277,https://myanimelist.net/anime/41277/Rainbow_Ruby,Rainbow Ruby,At Ruby's house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39039,https://myanimelist.net/anime/39039/Duel_Masters,Duel Masters!!,.,https://cdn.myanimelist.net/images/anime/1287/106313.jpg,TV,Original,51,Finished Airing,4/7/2019 0:00,3/29/2020 0:00,Spring 2019,Brain's Base|Shogakukan Music & Digital Entertainment,Action|Adventure|Comedy|Fantasy|Kids,,,,11607,934,2,77,145,19,155,538,934,0,0,0,0,0,0,0,0,0,0,,https://cdn.myanimelist.net/images/anime/1287/106313.jpg
34511,https://myanimelist.net/anime/34511/Hei_Mao_Jing_Zhang_1992,Hei Mao Jing Zhang (1992),The series follows Officer Black Cat's adventures around the forest neighbourhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47998,https://myanimelist.net/anime/47998/Budai_Xiao_Heshang,Budai Xiao Heshang,.,https://cdn.myanimelist.net/images/anime/1699/118257.jpg,TV,Original,52,Finished Airing,10/17/2014 0:00,11/21/2014 0:00,Fall 2014,,Kids,,,,18850,37,0,0,6,0,16,15,37,0,0,0,0,0,0,0,0,0,0,,https://cdn.myanimelist.net/images/anime/1699/118257.jpg
48262,https://myanimelist.net/anime/48262/Sigan_Yeohaengja_Luke,Sigan Yeohaengja Luke,.,https://cdn.myanimelist.net/images/anime/1177/114519.jpg,TV,Original,52,Finished Airing,5/9/2020 0:00,7/10/2021 0:00,Spring 2020,,Action|Adventure|Sci-Fi|Kids,,,,18046,112,0,7,18,6,28,53,112,0,0,0,0,0,0,0,0,0,0,,https://cdn.myanimelist.net/images/anime/1177/114519.jpg
10815,https://myanimelist.net/anime/10815/UFO_Senshi_Dai_Apolon_2,UFO Senshi Dai Apolon 2,Second season of UFO Senshi Dai Apolon.,https://cdn.myanimelist.net/images/anime/11/29869.jpg,TV,Original,21,Finished Airing,10/7/1976 0:00,2/24/1977 0:00,Fall 1976,Eiken|Studio Live,Action|Sci-Fi|Mecha,,,,13622,448,0,25,139,10,86,188,448,0,0,0,0,0,0,0,0,0,0,79626,https://cdn.myanimelist.net/images/anime/11/29869.jpg
49828,https://myanimelist.net/anime/49828/Mobile_Suit_Gundam__The_Witch_from_Mercury,Mobile Suit Gundam: The Witch from Mercury,.,https://cdn.myanimelist.net/images/anime/1317/117713.jpg,TV,Original,,Not yet aired,10/20/2022 0:00,,Fall 2022,,Mecha,,,,10920,1244,5,0,0,0,0,1244,1244,0,0,0,0,0,0,0,0,0,0,8652,https://cdn.myanimelist.net/images/anime/1317/117713.jpg
49891,https://myanimelist.net/anime/49891/Tensei_shitara_Ken_Deshita,Tensei shitara Ken Deshita,The hero of Tensei shitara Ken deshita differs from your standard otherworldly protagonist in that he is reincarnated as a sword! Beginning his quest by spawning in the middle of a beast-ridden forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47158,https://myanimelist.net/anime/47158/Tomodachi_no_Imouto_ga_Ore_ni_dake_Uzai,Tomodachi no Imouto ga Ore ni dake Uzai,If a girl teases you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37225,https://myanimelist.net/anime/37225/Xiao_Hua_Xian,Xiao Hua Xian,There is a mysterious power of the Holy Spirit hidden in the legendary continent of Labelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5140,https://myanimelist.net/anime/5140/Karaoke_Senshi_Mike-tarou,Karaoke Senshi Mike-tarou,A story about kids fighting with Karaoke.,https://cdn.myanimelist.net/images/anime/9/69565.jpg,TV,Manga,20,Finished Airing,4/4/1994 0:00,3/11/1995 0:00,Spring 1994,,Music|Kids,,,,13867,411,1,21,126,15,54,195,411,0,0,0,0,0,0,0,0,0,0,20039|32623,https://cdn.myanimelist.net/images/anime/7/20179.jpg|https://cdn.myanimelist.net/images/anime/9/69565.jpg
10709,https://myanimelist.net/anime/10709/Manga_Nihon_Keizai_Nyuumon,Manga Nihon Keizai Nyuumon,Depiction of Japan's economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44511,https://myanimelist.net/anime/44511/Chainsaw_Man,Chainsaw Man,Denji has a simple dream—to live a happy and peaceful life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50203,https://myanimelist.net/anime/50203/Love_Live_Superstar_2nd_Season,Love Live! Superstar!! 2nd Season,Second season of .,https://cdn.myanimelist.net/images/anime/1340/121454.jpg,TV,Other,,Not yet aired,7/20/2022 0:00,,Summer 2022,Sunrise,Slice of Life|Music|School,,,,5831,8730,32,0,0,0,0,8729,8729,0,0,0,0,0,0,0,0,0,0,8652|84674,https://cdn.myanimelist.net/images/anime/1340/121454.jpg
34664,https://myanimelist.net/anime/34664/Capsule_Boy,Capsule Boy,6.5-centimeter tall Degirdians fall to Earth in their spacecraft while chasing fugitives. Their spaceship transforms into a capsule toy stand near a toy store and a human boy accidentally takes home one of the aliens thinking it's a capsule toy. They befriend a human boy and try to figure out a way to get home all while fighting off the evil alien.,https://cdn.myanimelist.net/images/anime/10/83625.jpg,TV,Original,26,Finished Airing,5/15/2016 0:00,12/2/2016 0:00,Spring 2016,,Sci-Fi|Kids,,,,16836,182,0,13,57,5,53,54,182,0,0,0,0,0,0,0,0,0,0,41909,https://cdn.myanimelist.net/images/anime/10/83625.jpg
